Wavelength,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
1312.0,0.04,0.02,0.04,0.02,0.03
1316.0,0.02,0.02,0.04,0.02,0.03
1320.0,0.02,0.02,0.04,0.02,0.03
1324.0,0.02,0.02,0.04,0.02,0.03
1328.0,0.02,0.02,0.04,0.02,0.03
1332.0,0.02,0.02,0.03,0.02,0.03
1336.0,0.02,0.02,0.04,0.02,0.03
1340.0,0.03,0.02,0.04,0.02,0.03
1344.0,0.03,0.02,0.04,0.02,0.03
1348.0,0.03,0.02,0.04,0.02,0.03
1352.0,0.03,0.02,0.04,0.02,0.03
1356.0,0.03,0.02,0.04,0.02,0.03
1360.0,0.03,0.02,0.04,0.02,0.03
1364.0,0.03,0.02,0.04,0.02,0.03
1368.0,0.03,0.02,0.04,0.02,0.03
1372.0,0.03,0.02,0.04,0.02,0.03
1376.0,0.02,0.02,0.03,0.02,0.03
1380.0,0.03,0.02,0.03,0.02,0.03
1384.0,0.03,0.02,0.04,0.02,0.03
1388.0,0.03,0.02,0.04,0.02,0.03
1392.0,0.03,0.02,0.04,0.02,0.03
1396.0,0.03,0.02,0.04,0.02,0.03
1400.0,0.03,0.02,0.04,0.02,0.03
1404.0,0.03,0.02,0.04,0.02,0.03
1408.0,0.03,0.03,0.04,0.02,0.03
1412.0,0.03,0.03,0.04,0.02,0.03
1416.0,0.03,0.03,0.05,0.02,0.04
1420.0,0.03,0.02,0.05,0.02,0.04
1424.0,0.03,0.03,0.05,0.02,0.04
1428.0,0.03,0.03,0.05,0.02,0.04
1432.0,0.03,0.02,0.05,0.02,0.04
1436.0,0.03,0.02,0.05,0.02,0.03
1440.0,0.03,0.02,0.04,0.02,0.03
1444.0,0.03,0.02,0.04,0.02,0.03
1448.0,0.04,0.02,0.03,0.02,0.02
1452.0,0.04,0.02,0.03,0.02,0.02
1456.0,0.04,0.02,0.03,0.02,0.02
1460.0,0.02,0.02,0.03,0.02,0.03
1464.0,0.02,0.02,0.03,0.02,0.03
1468.0,0.02,0.02,0.03,0.02,0.03
1472.0,0.02,0.02,0.04,0.02,0.03
1476.0,0.03,0.02,0.04,0.02,0.03
1480.0,0.03,0.02,0.04,0.02,0.03
1484.0,0.02,0.02,0.04,0.02,0.03
1488.0,0.03,0.02,0.04,0.02,0.03
1492.0,0.03,0.03,0.04,0.02,0.03
1496.0,0.03,0.03,0.05,0.02,0.04
1500.0,0.03,0.03,0.05,0.02,0.04
1504.0,0.03,0.03,0.07,0.03,0.05
1508.0,0.03,0.03,0.05,0.02,0.04
1512.0,0.03,0.02,0.03,0.02,0.03
1516.0,0.03,0.02,0.03,0.02,0.02
1520.0,0.03,0.02,0.03,0.02,0.02
1524.0,0.03,0.02,0.03,0.02,0.03
1528.0,0.03,0.02,0.03,0.02,0.03
1532.0,0.03,0.02,0.03,0.02,0.03
1536.0,0.03,0.03,0.04,0.02,0.03
1540.0,0.03,0.03,0.04,0.02,0.03
1544.0,0.03,0.03,0.04,0.02,0.03
1548.0,0.03,0.03,0.04,0.02,0.03
1552.0,0.03,0.03,0.04,0.02,0.03
1556.0,0.03,0.03,0.05,0.02,0.04
1560.0,0.03,0.03,0.05,0.02,0.04
1564.0,0.03,0.03,0.05,0.02,0.04
1568.0,0.03,0.02,0.04,0.02,0.03
1572.0,0.03,0.02,0.03,0.02,0.02
1576.0,0.03,0.02,0.03,0.02,0.02
1580.0,0.03,0.02,0.03,0.02,0.02
1584.0,0.03,0.02,0.03,0.02,0.03
1588.0,0.03,0.02,0.03,0.02,0.03
1592.0,0.04,0.03,0.04,0.02,0.03
1596.0,0.04,0.03,0.04,0.02,0.03
1600.0,0.05,0.03,0.04,0.02,0.03
1604.0,0.04,0.03,0.05,0.02,0.04
1608.0,0.02,0.02,0.04,0.02,0.03
1612.0,0.03,0.02,0.03,0.02,0.02
1616.0,0.03,0.02,0.03,0.02,0.02
1620.0,0.03,0.02,0.03,0.02,0.02
1624.0,0.03,0.02,0.03,0.02,0.02
1628.0,0.03,0.02,0.04,0.02,0.03
1632.0,0.03,0.02,0.04,0.02,0.03
1636.0,0.03,0.02,0.04,0.02,0.03
1640.0,0.03,0.02,0.05,0.02,0.03
1644.0,0.03,0.03,0.05,0.02,0.04
1648.0,0.03,0.03,0.06,0.02,0.04
1652.0,0.04,0.03,0.07,0.02,0.05
1656.0,0.04,0.03,0.07,0.03,0.05
1660.0,0.04,0.03,0.06,0.03,0.04
1664.0,0.04,0.03,0.05,0.02,0.04
1668.0,0.04,0.03,0.03,0.02,0.02
1672.0,0.05,0.02,0.02,0.02,0.02
1676.0,0.05,0.03,0.02,0.02,0.02
1680.0,0.05,0.03,0.02,0.02,0.02
1684.0,0.05,0.03,0.03,0.02,0.02
1688.0,0.05,0.03,0.03,0.02,0.02
1692.0,0.05,0.03,0.03,0.02,0.02
1696.0,0.03,0.02,0.03,0.02,0.02
1700.0,0.02,0.02,0.03,0.02,0.02
1704.0,0.02,0.02,0.03,0.02,0.02
1708.0,0.02,0.02,0.03,0.02,0.02
1712.0,0.02,0.02,0.02,0.02,0.02
1716.0,0.02,0.02,0.02,0.02,0.02
1720.0,0.02,0.02,0.02,0.02,0.02
1724.0,0.02,0.02,0.02,0.02,0.02
1728.0,0.02,0.02,0.02,0.02,0.02
1732.0,0.02,0.02,0.02,0.02,0.02
1736.0,0.03,0.02,0.03,0.02,0.03
1740.0,0.03,0.02,0.03,0.02,0.03
1744.0,0.03,0.02,0.03,0.02,0.03
1748.0,0.04,0.03,0.03,0.02,0.03
1752.0,0.04,0.02,0.03,0.02,0.03
1756.0,0.03,0.02,0.03,0.02,0.03
1760.0,0.02,0.02,0.03,0.02,0.03
1764.0,0.02,0.02,0.03,0.02,0.03
1768.0,0.02,0.02,0.03,0.02,0.03
1772.0,0.02,0.02,0.03,0.02,0.03
1776.0,0.02,0.02,0.03,0.02,0.03
1780.0,0.02,0.02,0.03,0.02,0.03
1784.0,0.02,0.02,0.03,0.02,0.03
1788.0,0.02,0.02,0.03,0.02,0.03
1792.0,0.02,0.03,0.03,0.02,0.03
1796.0,0.02,0.03,0.03,0.02,0.03
