Wavelength,Cluster 1,Cluster 2,Cluster 3,Cluster 4
0.0,236.66776183409706,117.63720599789744,217.6698830781259,195.35382597277314
1.0,234.48255115901574,174.9780823853277,181.6325284529798,192.66631711144672
2.0,229.3535354961694,199.0765871489452,127.43146726090444,183.5038875372122
