Wavelength,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
800.0,0.018456032862527862,0.04922953076186932,0.0320173881868318,0.04448007299669864,0.03514595970402363
804.0,0.017475341105618294,0.03304252967302147,0.035471504384712305,0.05187387557437142,0.02346098234725965
808.0,0.01467896607365969,0.03566935809161734,0.02502334257878455,0.034485529861931145,0.02523105510037851
812.0,0.015544780103022482,0.04015383314793968,0.024562089668840926,0.03283652657705795,0.028656528377485974
816.0,0.017924627025157867,0.045015811347876786,0.02853600228443326,0.038381850740300434,0.03234462979565691
820.0,0.017366276746211138,0.0432314425054622,0.028199703386455242,0.03824302852606379,0.0310284077388433
824.0,0.01835513675184657,0.04464830152031556,0.03020693590093082,0.04121801780994909,0.032170740804458794
828.0,0.019301221518276967,0.0459463882990565,0.032655438259589345,0.04516432443781734,0.033352598625126184
832.0,0.020408402502552367,0.04943542177756602,0.03652677174795392,0.05160359028763891,0.03596609405901943
836.0,0.018486885342395575,0.05435049073367575,0.029871914061294174,0.04068993832793241,0.03951031938782549
840.0,0.015038185642360587,0.03928223571834621,0.022813510293510662,0.029536335836073773,0.027849184213815867
844.0,0.016752040449858698,0.03955784561050906,0.02631451228526832,0.034527754423860836,0.027805364324484726
848.0,0.01744643021759407,0.04169061496987282,0.027521590924166433,0.03636327528616124,0.02952331316100808
852.0,0.016988046320104717,0.04158488504362574,0.027128672885874533,0.0360691477315296,0.02953781373099656
856.0,0.016839316022061037,0.043318868510885566,0.02643867350602839,0.03466642197041922,0.030751429208730523
860.0,0.017430996960242747,0.04389814917272871,0.027091441719449286,0.03503922996056685,0.031210938645330994
864.0,0.018296718634480846,0.04490470852626511,0.028481924571425177,0.03676244705367515,0.031996117101271856
868.0,0.01856302896971727,0.044892976575089075,0.028980166488963982,0.03732046110949629,0.03201631865556444
872.0,0.019048028315857588,0.045531017368856855,0.029706654395588044,0.0381079307060722,0.03248030890349869
876.0,0.019777582859367458,0.047504268768181125,0.030990529267179958,0.03981219233334242,0.03375070546599882
880.0,0.019952944145356703,0.048316890935895807,0.03160715276846973,0.04067921424707085,0.03413188041470296
884.0,0.019157603714599243,0.04456722599928978,0.03076273748105382,0.03965536175764923,0.03157336525045693
888.0,0.020337827545320496,0.047379592646076274,0.03223611763785353,0.041617894792202,0.03365042950404254
892.0,0.020730110984357442,0.049519618267693286,0.03247352286712312,0.04198843198824186,0.034761039383552815
896.0,0.021248640105706065,0.05227617574268067,0.03326289892509205,0.043238294203856574,0.036471438248202696
900.0,0.021681160773625155,0.0547480511203906,0.0335577509543965,0.04357484518866314,0.03781446691982829
904.0,0.02095629951730989,0.057699225383678596,0.032368975756982284,0.04211922355609623,0.038683495134137595
908.0,0.022171482491565333,0.06579707846903927,0.03359740437850512,0.04355567382426861,0.0442737263322503
912.0,0.022678329276018313,0.07430282115217311,0.033655019742882104,0.043373165437651955,0.05151839547150128
916.0,0.021510664393330062,0.05673145033672815,0.034912469393411444,0.04540993326462885,0.039431710254300284
920.0,0.018225685067524044,0.0339276547561288,0.032295526435339866,0.042576002768129284,0.02489451166373809
924.0,0.018451065092268785,0.034983495801894034,0.032553371553411335,0.04261951925226025,0.025359402768671872
928.0,0.019004265430301922,0.03359408546536704,0.03369811488418392,0.04421117674033086,0.024248973031279382
932.0,0.019109179618168572,0.0314033012638794,0.03403004405981404,0.04489289067663456,0.022502311383578198
936.0,0.019132266394135556,0.030520580763684677,0.0338567204399666,0.04459478586326663,0.02184575389855326
940.0,0.020073857146996023,0.03241110087007318,0.035256803239201086,0.04642853007024845,0.023123534944037103
944.0,0.020175951811824827,0.03325380491595057,0.03488326063032558,0.04572527830982387,0.023787519483276093
948.0,0.02068532860953351,0.03678223420621619,0.03702581952248546,0.049391185775008235,0.025538650273230743
952.0,0.0200835422117155,0.037352593310570475,0.03554217729851541,0.04737432273912487,0.026016767891179828
956.0,0.0208410235967336,0.03985548694373831,0.036613818064327903,0.04883238333470602,0.02781529330505847
960.0,0.020263115730374304,0.041742342507248155,0.03580642330995586,0.04819325248016141,0.029011211088122997
964.0,0.018949734823818332,0.04379878031672711,0.0346064300936147,0.04737131639133479,0.03014401622933221
968.0,0.017039252048940128,0.03929107424760848,0.032026286345257005,0.04323353193829353,0.026998976490658907
972.0,0.017374505220205838,0.03533838939072577,0.03202398235169131,0.04174292688695547,0.024547525305390446
