Wavelength,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
0.0,61.24,57.59,56.43,62.1,66.82
1.0,22.15,19.84,18.65,24.12,25.88
2.0,25.34,21.5,20.55,27.33,31.29
3.0,32.58,18.44,23.89,14.21,37.29
4.0,56.18,22.11,43.95,3.38,72.94
5.0,97.31,94.77,97.09,91.36,98.89
6.0,26.21,10.01,19.71,1.61,36.42
