Wavelength,Cluster 1,Cluster 2,Cluster 3,Cluster 4
0.0,229.58502,150.76654,207.646,47.827225
1.0,229.74927,185.33832,178.30685,136.9872
2.0,225.9031,200.27704,134.07858,171.97334
